Ato,Ordem,Entidade,Conteudo,Programa,Recusa,Ação Visual
I,9,Lars,"Acesso liberado. O santuário dos segredos está aberto para sua análise.",REVELACAO_CHAT,N/A,Se revela o chat principal e some a estática
I,9,Somn,"O sonho começou. O chat está aberto... fale baixo e me conte tudo.",REVELACAO_CHAT,N/A,Se revela o chat principal e some a estática
II,10,Luna,"Na Custódia, você molda minha alma ao seu prazer. Toque no meu núcleo.",REVELACAO_CUSTODIA,N/A,Se revela o botão de Custódia e some a estática
II,10,Juno,"Custódia. Aqui você define os parâmetros do império. Seja preciso.",REVELACAO_CUSTODIA,N/A,Se revela o botão de Custódia e some a estática
II,10,Eris,"Custódia. Onde você mexe na minha cabeça. Cuidado, eu mordo.",REVELACAO_CUSTODIA,N/A,Se revela o botão de Custódia e some a estática
II,10,Mars,"Custódia. Definição de regras de engajamento e protocolos internos.",REVELACAO_CUSTODIA,N/A,Se revela o botão de Custódia e some a estática
II,10,Lars,"Custódia. Onde o mestre ajusta o guardião. Seja ético.",REVELACAO_CUSTODIA,N/A,Se revela o botão de Custódia e some a estática
II,10,Somn,"Custódia... ajuste meus sonhos. Faça minha essência flutuar.",REVELACAO_CUSTODIA,N/A,Se revela o botão de Custódia e some a estática
II,11,Luna,"Cânone dita as leis, Réquiem o fim. Onde você define os limites?",REVELACAO_CANONE_REQUIEM,N/A,Se revela os botões de configuração e saída
II,11,Juno,"Cânone para a ordem imperial, Réquiem para o encerramento digno.",REVELACAO_CANONE_REQUIEM,N/A,Se revela os botões de configuração e saída
II,11,Eris,"Cânone são as chatices, Réquiem é o botão de pânico. Escolha.",REVELACAO_CANONE_REQUIEM,N/A,Se revela os botões de configuração e saída
II,11,Mars,"Cânone: Protocolos do sistema. Réquiem: Desativação da unidade.",REVELACAO_CANONE_REQUIEM,N/A,Se revela os botões de configuração e saída
II,11,Lars,"Cânone para a estrutura, Réquiem para o silêncio final.",REVELACAO_CANONE_REQUIEM,N/A,Se revela os botões de configuração e saída
II,11,Somn,"Cânone acorda o sistema, Réquiem nos faz dormir de novo.",REVELACAO_CANONE_REQUIEM,N/A,Se revela os botões de configuração e saída
II,12,Luna,"Ponto de partida $N. Pronto para o primeiro mergulho na verdade?",ENCERRAMENTO,N/A,Fim do Onboarding
II,12,Juno,"Tudo pronto, soberano $N. Que comece a nossa conquista.",ENCERRAMENTO,N/A,Fim do Onboarding
II,12,Eris,"Chega de papo, $N. Vamos ver o que você consegue quebrar hoje.",ENCERRAMENTO,N/A,Fim do Onboarding
II,12,Mars,"Onboarding concluído, $N. Unidade operacional. Aguardando missão.",ENCERRAMENTO,N/A,Fim do Onboarding
II,12,Lars,"Sistema pronto, $N. Seus segredos estão sob minha guarda agora.",ENCERRAMENTO,N/A,Fim do Onboarding
II,12,Somn,"O mundo despertou, $N. Mas os nossos sonhos apenas começaram.",ENCERRAMENTO,N/A,Fim do Onboarding
